Input,Prediction,Target
aurobindo,பரோபின்டோ,அரோபிந்தோ
pirandhana,சிரந்தன,பிறந்தன
paantvitth,பாண்ட்வித்த்,பாண்ட்விட்த்
payanpaduththavillai,பயன்படுத்தவில்லை,பயன்படுத்தவில்லை
chithiraip,சிதிரைப்,சித்திரைப்
veetak,மீடக்,வேதக்
veettirkuch,வீட்டிற்குச்,வீட்டிற்குச்
seenivasa,சீனிவசச,சீனிவாச
siridhalavu,சிறிதலவு,சிறிதளவு
parappazhavai,பரப்பழவை,பரப்பளவை
kaththirukkakudaathu,கத்திருக்ககுடாது,காத்திருக்ககூடாது
magilchchiyaana,வகில்ச்சியான,மகிழ்ச்சியான
poarththukkeyar,போர்த்துக்கேயர்,போர்த்துக்கேயர்
sambrathaaya,சம்ப்ரதாய,சம்பிரதாய
grover,சிரோவர்,க்ரோவர்
caaminaathan,சாமினாதன்,சாமிநாதன்
kidanta,கிடன்ட,கிடந்த
neethu,மீது,நீது
nirainthirunthanar,விறைந்திருந்தனர்,நிறைந்திருந்தனர்
vimaanangalum,விமானங்களும்,விமானங்களும்
beaverton,செவரர்டடன்,பெவெர்டன்
shipping,சிப்பிங்,ஷிப்பிங்
mudivilaa,வுடிவிலா,முடிவிலா
eeyaththagadu,சயத்தகடு,ஈயத்தகடு
miramar,மிரமர்,மிரமர்
thirumaalin,விருமாளின்,திருமாலின்
nulainthathu,வுலைந்தது,நுழைந்தது
tuurbauu,மூர்பாுு,டர்போ
piranthullathu,பிரந்துள்ளது,பிறந்துள்ளது
nunmai,முண்மை,நுண்மை
aalosanai,அலோசனை,ஆலோசானை
tamizhaiyum,வமிழையும்,தமிழையும்
sarwar,சர்வர்,சர்வர்
piranthapoothu,சிரந்தபூது,பிறந்தபோது
malargalil,மலர்களில்,மலர்களில்
avarkalinaal,வவர்களினால்,அவர்களினால்
becqy,செக்கி,பெக்கி
vazhangkunar,வழங்குணர்,வழங்குநர்
vaanggappadum,வாங்கப்படும்,வாங்கப்படும்
shores,சோரேஸ்,ஷோர்ஸ்
siraaj,சிராஜ்,சிராஜ்
neeroattaththin,வீரோட்டத்தின்,நீரோட்டத்தின்
edhirkkatchi,சதிர்க்கட்சி,எதிர்க்கட்சி
majeed,டாஜீத்,மஜீத்
peyaroa,பெயரோ,பெயரோ
panithan,சனித்தன்________________,பணித்தான்
atul,மடுத்,அதுல்
vimaanangalin,விமானங்களின்,விமானங்களின்
chozhargalukku,சொழர்களுக்கு,சோழர்களுக்கு
udaipur,சடைபுுு்,உதய்புர்
eenoo,சனூூ,ஏனோ
media,மெடியா,மீடியா
vangiyaalargaludanaana,வங்கியாளர்களுடனான,வங்கியாளர்களுடனான
thiruththuvatharku,விருத்துவதற்கு,திருத்துவதற்கு
titaniumm,திட்டடியமமமம்,டைட்டானியம்
idharkellaam,வதற்கெல்லாம்,இதற்கெல்லாம்
pakiirathan,ககிரததன்்,பகீரதன்
kuutukalil,குடுகளில்,கூடுகளில்
vaathanggalai,வாதங்களை,வாதங்களை
kollaadhavar,கொள்லாதவர்,கொள்ளாதவர்
idaith,அடைத்,இடைத்
thiyaakaraajar,வியாகராஜர்,தியாகராஜர்
accelya,தச்செல்யா,அசில்யா
vealaiyaaka,வெளையாக,வேலையாக
velaiththittam,வெளைத்திட்டம்,வேலைத்திட்டம்
paek,பேக்,பேக்
andar,மண்தர்,அண்டர்
wai,பைய்,வேய்
bhusawal,சுசாவா்,புஸாவால்
nilaippaattil,விலைப்பாட்டில்,நிலைப்பாட்டில்
goopee,சோபீ,கோபி
arkis,டர்ககஸ்,அர்கிஸ்
maembaalam,வேம்பாலம்,மேம்பாலம்
vechchitteengaley,வெச்சிட்டீங்களேய்,வெச்சிட்டீங்களே
vaathittu,வாதிட்டு,வாதிட்டு
cakkarattai,சக்கரர்டடை,சக்கரத்தை
sonwani,சோன்வானி,சோன்வானி
panitthaan,பணித்தான்,பணித்தான்
cranston,சிரான்்்்னன்்___________,கிரான்ஸ்டான்
jinivaa,சினிவா,ஜினிவா
kanavanin,கனவனின்,கணவனின்
bakthakedigal,சக்தகெடிகள்,பக்தகேடிகள்
kulanggalin,குளங்களின்,குளங்களின்
parppavar,பர்ப்பவர்,வேலைப்
idharkellam,அதற்கெல்லம்,இதற்கெல்லாம்
adankiyuzhzha,வடங்கியுழ்ழ,அடங்கியுள்ள
latchiyaththirgum,சட்சியத்திற்கும்,இலட்சத்திற்கும்
piridhoru,பிரிதொரு,பிறிதொரு
thanggumidam,வங்குமிடம்,தங்குமிடம்
railway,சைல்வே,ரெயில்வே
aerpadavillai,இற்படவில்லை,ஏற்படவில்லை
vipaththin,விபத்தின்,விபத்தின்
polavo,சொலவோ,போலவோ
maheshh,மாேஷஷ,மகேஷ்
varunthaan,வருந்தான்,வருந்தான்
aanaiya,அனைய,ஆணைய
noolum,மூலும்,நூலும்
erickson,சரிக்ஸோன்,எரிக்சன்
aarampiththullathu,வரம்பித்துள்ளது,ஆரம்பித்துள்ளது
asija,மசிஜா,அசிஜா
katch,சட்ச்,கட்ச்
maiyamaaka,மையமாக,மையமாக
kooppaiyil,சூப்பையில்,கோப்பையில்
kuuttankal,குட்டங்கள்,கூட்டங்கள்
sernthuvittiruntha,செர்ந்துவிட்டிருந்த,சேர்ந்துவிட்டிருந்த
teta,மெட்டா,டாடா
aanaimalai,அனைமலை,ஆனைமலை
yuneskoavin,சுணேஸ்கோவின்,யுனெஸ்கோவின்
varaaga,மராக,வராக
vandhirundhanar,வந்திருந்தனர்,வந்திருந்தனர்
rajgarh,சாஜ்கர்,ரஜ்கர்
munnetukka,முன்னெடுக்க,முன்னெடுக்க
kkul,க்குள்,க்குள்
kallaala,கல்லாள,கல்லால
lee,சீயோ,லீ
thittamittullaar,விட்டமிட்டுள்ளார்,திட்டமிட்டுள்ளார்
thaervil,வேர்வில்,தேர்வில்
muguthuvali,முகுதுவலி,முகுதுவலி
mansfield,டான்ஸ்பபில்்்்்_________,மேன்ஸ்ஃபீல்ட்
kaiyaal,சையாள்,கையாள்
aana,அனன,ஆன்
kudayyil,குடயயயில்,குடையில்
sollra,சொல்லிரா,சொல்ற
itarsi,மடற்ரி,இடார்சி
kirishthavarkalin,கிரிஷ்தவர்களின்,கிறித்தவர்களின்
adumattumalla,வடுமட்டுமல்ல,அதுமட்டுமல்ல
shajapur,சாஜபபுர்,சஜாபூர்
colii,சோலியி,கோலி
saethamadainththana,சேதமடைந்தன,சேதமடைந்தன
matriyirunthathaagavum,வற்றியிருந்ததாகவும்,மாற்றியிருந்ததாகவும்
shaavai,சாவை,ஷாவை
panimanai,பணிமனை,பணிமனை
saliththollaikaana,சலித்தொள்ளைகான,சளித்தொல்லைக்கான
chitranshi,சிட்ரான்ஷி,சித்ரான்ஷி
narampukal,மரம்புகள்,நரம்புகள்
andri,மன்றி,அன்றி
kaithal,சைதல்,கைதல்
ananrtham,வனன்தம்,அனர்த்தம்
cork,சோர்க்்_________________,கார்க்
beepi,சீபிி,பீபி
sasanka,சசங்க,சசாங்கா
under,சண்டர்,அண்டர்
yoagaththin,சோகத்தின்,யோகத்தின்
renton,சென்டோன்,ரெண்டன்
magaaveer,வகாவீர்,மகாவீர்
saashai,சாஷை,சாஸை
basirhat,சாசிரத்்________________,பசிர்ஹட்
panigalukkum,கணிகளுக்கும்,பணிகளுக்கும்
kulamum,குலமும்,குளமும்
kayitrril,சயிற்றில்,கயிற்றில்
vilaiyaadudhal,விளையாடுதல்,விளையாடுதல்
fitzgerald,சிட்ஸேரல்்்்்்__________,பிட்ஸ்ஜெரால்ட்
modern,மோடர்்்்,மாடன்
kota,கொட்டா,கோடா
kartu,சரர்டு,சிம்
kalluriyaga,கல்ளுரியக,கல்லூரியாக
iththittathirkku,வத்திட்டதிற்க்கு,இத்திட்டத்திற்கு
thanithaniyaga,வனித்திிிக,தனித்தனியாக
kark,சா்க்்,கார்க்
vaelaiyin,வேலையின்,வேலையின்
maattruvathai,மாற்றுவதை,மாற்றுவதை
uruppugal,கருப்புகள்,உறுப்புகள்
vaippaar,வைப்பார்,வைப்பார்
braamanarkalum,சிராமனர்களும்,பிராமணர்களும்
adiyiliyaal,வடியிலியால்,அடியிலியால்
kezh,செழ்,கேள்
thadaip,வடைப்,தடைப்
panguthaarargal,கங்குதாரர்கள்,பங்குதாரர்கள்
pudhuvaiyai,புதுவையை,புதுவையை
thadaipattathu,வடைபட்டது,தடைபட்டது
kaimari,சைமரரர,கைமாறி
ouil,பயலல்,ஆயில்
santos,சான்டோஸ்,சான்டோஸ்
seithiyaalargalukum,செய்தியாளர்களுக்,செய்தியாளர்களுக்கும்
pudhumaigalai,புதுமைகளை,புதுமைகளை
meemanjai,மீமஞ்சை,மீமாஞ்சை
padhivar,பதிவர்,பதிவர்
seluththappadavendum,செலுத்தப்படவேண்டும்,செலுத்தப்படவேண்டும்
thoguppin,மொகுப்பின்,தொகுப்பின்
