Input,Prediction,Target
aurobindo,ஆரோபிடின்,அரோபிந்தோ
pirandhana,பிரந்தன,பிறந்தன
paantvitth,பான்வித்த்,பாண்ட்விட்த்
payanpaduththavillai,பயன்பட்ததததிலலலல்,பயன்படுத்தவில்லை
chithiraip,சிதிரிப்,சித்திரைப்
veetak,வீடக்க,வேதக்
veettirkuch,வீட்டிக்குக்,வீட்டிற்குச்
seenivasa,சீனிவா்,சீனிவாச
siridhalavu,சிறிவவுு,சிறிதளவு
parappazhavai,பரப்பவவை,பரப்பளவை
kaththirukkakudaathu,கத்திருக்க்கதககு,காத்திருக்ககூடாது
magilchchiyaana,மகிய்ச்சியைய்,மகிழ்ச்சியான
poarththukkeyar,போர்த்துக்க்க்,போர்த்துக்கேயர்
sambrathaaya,சம்பரததாா,சம்பிரதாய
grover,குரோவரர்,க்ரோவர்
caaminaathan,காமின்தனன,சாமிநாதன்
kidanta,கிடட்ட,கிடந்த
neethu,நீதுத்,நீது
nirainthirunthanar,நிறைந்திரிந்ந்ன்,நிறைந்திருந்தனர்
vimaanangalum,விமானங்களமம்,விமானங்களும்
beaverton,பீவெர்ட்ன்,பெவெர்டன்
shipping,சிப்பிக்,ஷிப்பிங்
mudivilaa,முடிவில்,முடிவிலா
eeyaththagadu,ஈடத்தக்,ஈயத்தகடு
miramar,மிரமார,மிரமர்
thirumaalin,திருமிலில்,திருமாலின்
nulainthathu,நுலைந்து,நுழைந்தது
tuurbauu,துருப்ப,டர்போ
piranthullathu,பிரந்துளுது்,பிறந்துள்ளது
nunmai,நுன்மை,நுண்மை
aalosanai,ஆலோச்,ஆலோசானை
tamizhaiyum,தமிழையும்,தமிழையும்
sarwar,சர்வர்,சர்வர்
piranthapoothu,பிரந்தத்து,பிறந்தபோது
malargalil,மலர்களில்,மலர்களில்
avarkalinaal,அவர்களில்ல்,அவர்களினால்
becqy,பெக்க,பெக்கி
vazhangkunar,வழங்குன்்,வழங்குநர்
vaanggappadum,வாங்கப்படும்,வாங்கப்படும்
shores,ஸோரோஸ்,ஷோர்ஸ்
siraaj,சிராஜ்,சிராஜ்
neeroattaththin,நீருந்ட்தததத்,நீரோட்டத்தின்
edhirkkatchi,எதிர்க்்ட்்்,எதிர்க்கட்சி
majeed,மாேட்,மஜீத்
peyaroa,பெயர்ப,பெயரோ
panithan,பணினன்,பணித்தான்
atul,அடுல்,அதுல்
vimaanangalin,வினாாங்களின,விமானங்களின்
chozhargalukku,கோழர்குகளககு,சோழர்களுக்கு
udaipur,உடைப்பு,உதய்புர்
eenoo,ஈனோன்,ஏனோ
media,மெடியி,மீடியா
vangiyaalargaludanaana,வங்கியாக்கக்காா்,வங்கியாளர்களுடனான
thiruththuvatharku,திருத்துவவுககு,திருத்துவதற்கு
titaniumm,திடாிம்ம்,டைட்டானியம்
idharkellaam,இதக்கில்ல்ம்,இதற்கெல்லாம்
pakiirathan,பகிதாதன்,பகீரதன்
kuutukalil,குடுகளில்,கூடுகளில்
vaathanggalai,வாதங்களை,வாதங்களை
kollaadhavar,கொல்வாததத்,கொள்ளாதவர்
idaith,இடைத்,இடைத்
thiyaakaraajar,தியாாரரரர்,தியாகராஜர்
accelya,அச்சலயை,அசில்யா
vealaiyaaka,வீயையாக,வேலையாக
velaiththittam,வெளைத்துட்ட்்,வேலைத்திட்டம்
paek,பேக்க,பேக்
andar,அந்டர்,அண்டர்
wai,வைய்,வேய்
bhusawal,புசாால்,புஸாவால்
nilaippaattil,நிலைப்படட்ட்ல்,நிலைப்பாட்டில்
goopee,கோப்ப,கோபி
